row_id,vehicle_id,latitude,longitude,distance_from_prev_point,worker_id
6,508395,32.8164,35.13748,0,4
8,508395,32.81615,35.13755,28.590009115548288,4
9,508395,32.81615,35.13755,0,4
10,508395,32.81615,35.13755,0,4
31,508395,32.81739,35.05473,7749.354358758674,4
35,508395,32.81716,35.05505,39.392447239296004,4
38,508395,32.81737,35.05471,39.47460547242242,4
39,508395,32.81736,35.05529,54.27225382606034,4
42,508395,32.81879,35.05491,163.10811412962525,4
43,508395,32.81953,35.05535,92.08817266137262,4
48,508395,32.82297,35.05816,464.4830202448295,4
49,508395,32.82462,35.05893,197.29603187706448,4
50,508395,32.8264,35.0609,270.59761539028744,4
52,508395,32.82672,35.06171,83.72616149026351,4
53,508395,32.82795,35.06306,186.2664639216318,4
56,508395,32.83006,35.06367,241.71551609192386,4
61,508395,32.83211,35.06441,238.47164087368265,4
64,508395,32.83371,35.06506,188.20229141580825,4
67,508395,32.83419,35.06526,56.613430930844636,4
68,508395,32.83494,35.06563,90.37824860116082,4
72,508395,32.83627,35.06721,209.18954770469614,4
73,508395,32.83563,35.06851,140.9283339933111,4
76,508395,32.8342,35.07141,314.51126436030796,4
77,508395,32.83354,35.07248,124.15567735912751,4
80,508395,32.83265,35.07367,149.01449620478087,4
101,508395,32.83255,35.07378,15.15867817518993,4
102,508395,32.83255,35.07376,1.8707434585745515,4
105,508395,32.83254,35.07375,1.4540025015201874,4
106,508395,32.83255,35.07373,2.176897881744706,4
107,508395,32.83255,35.07373,0,4
108,508395,32.83252,35.07374,3.4681041930520022,4
113,508395,32.83244,35.07369,10.058927731013501,4
114,508395,32.83242,35.07368,2.4148983925987997,4
115,508395,32.83235,35.07368,7.792364355891221,4
117,508395,32.83224,35.07373,13.107886317245027,4
118,508395,32.83224,35.07373,0,4
119,508395,32.83209,35.07377,17.111969463500714,4
120,508395,32.83175,35.07387,38.98732902706772,4
122,508395,32.83157,35.07393,20.808640075251972,4
123,508395,32.83157,35.07393,0,4
124,508395,32.83137,35.07399,22.960380162728242,4
125,508395,32.83118,35.07404,21.661622351869,4
126,508395,32.8308,35.07415,43.53479142866524,4
127,508395,32.83061,35.0742,21.661628834335577,4
129,508395,32.83024,35.07431,42.45396558759819,4
132,508395,32.82903,35.0746,137.4009678367323,4
139,508395,32.82727,35.07516,202.8042677262368,4
144,508395,32.82465,35.07709,343.0139740891473,4
146,508395,32.82417,35.07889,176.65711789903702,4
160,508395,32.82411,35.07951,58.38186245087773,4
165,508395,32.82361,35.0817,212.2928901119188,4
167,508395,32.82211,35.08153,167.73482780655377,4
171,508395,32.81995,35.08102,245.13773413432068,4
173,508395,32.81887,35.08059,126.77645279264748,4
174,508395,32.8171,35.07945,224.0472748490424,4
187,508395,32.81679,35.07922,40.66779404377574,4
195,508395,32.81552,35.08138,246.6220913314539,4
198,508395,32.81519,35.08643,473.88019470998296,4
199,508395,32.81522,35.08741,91.74513293556011,4
205,508395,32.81454,35.09181,418.5475407985949,4
210,508395,32.81321,35.09649,462.2005962176255,4
213,508395,32.81267,35.09892,235.1584540572714,4
215,508395,32.81264,35.09954,58.102092925887426,4
218,508395,32.81289,35.1002,67.72999804090232,4
219,508395,32.81406,35.10153,180.12929127278903,4
222,508395,32.81456,35.10283,133.7543780563049,4
226,508395,32.81612,35.10515,277.9697870249151,4
228,508395,32.81684,35.1064,141.7730745565722,4
231,508395,32.81656,35.10798,151.0656852383751,4
233,508395,32.81644,35.10929,123.2817065915538,4
235,508395,32.81682,35.10997,76.39692944658461,4
241,508395,32.81752,35.1112,138.97247162067262,4
244,508395,32.81809,35.11221,113.81650021657013,4
247,508395,32.81903,35.11388,188.03706104257412,4
251,508395,32.81907,35.11599,197.4436520300351,4
252,508395,32.81581,35.12027,540.3919524228489,4
256,508395,32.81507,35.12463,416.13556314334534,4
257,508395,32.81395,35.1279,330.3587739377927,4
258,508395,32.81261,35.12947,209.34754843582448,4
259,508395,32.80997,35.1318,365.9081487919877,4
260,508395,32.80891,35.13297,160.95558552715264,4
261,508395,32.80906,35.13406,103.3405280637495,4
262,508395,32.80925,35.13502,92.2760293380848,4
263,508395,32.80952,35.13752,235.82710216464892,4
264,508395,32.80988,35.14,235.46718099361638,4
265,508395,32.8117,35.14305,349.96671113818184,4
266,508395,32.81226,35.14222,99.58041051328667,4
1,1168038,31.81654,35.18962,110932.70476353959,4
2,1168038,31.81489,35.19168,267.78491191586204,4
3,1168038,31.81528,35.19092,83.98348528530596,4
4,1168038,31.81502,35.19194,100.73354651261687,4
5,1168038,31.81752,35.18783,478.1190120022133,4
11,1168038,31.81723,35.18818,46.24124091860511,4
12,1168038,31.79666,35.22951,4531.099616288262,4
18,1168038,31.79995,35.23269,473.97444814272075,4
30,1168038,31.80293,35.22923,466.0476300350794,4
32,1168038,31.80417,35.23035,174.01503128497768,4
34,1168038,31.80412,35.23182,139.18124394720942,4
55,1168038,31.80383,35.23254,75.37876849418079,4
57,1168038,31.80385,35.23313,55.8617415984565,4
71,1168038,31.80458,35.23575,260.8471155928674,4
75,1168038,31.8073,35.23556,303.3220671706745,4
84,1168038,31.80673,35.23451,117.8691134304188,4
90,1168038,31.80644,35.22993,434.4821710615128,4
103,1168038,31.8057,35.22051,894.96330202394,4
116,1168038,31.80651,35.21614,423.13567969148056,4
130,1168038,31.80881,35.20762,845.6957867546474,4
142,1168038,31.81253,35.2013,727.273626915817,4
145,1168038,31.81273,35.19935,185.80226004580123,4
158,1168038,31.81503,35.19516,471.85901535217187,4
166,1168038,31.81248,35.19522,283.9214375600014,4
172,1168038,31.8143,35.19322,277.2019154683649,4
179,1168038,31.81649,35.18982,403.5743601179287,4
7,1201369,32.057,34.8456,42121.83914498033,4
13,1201369,31.93317,34.92807,15831.567579478855,4
14,1201369,31.94209,34.92984,1006.9498672583893,4
15,1201369,31.94865,34.93137,744.4198840075887,4
16,1201369,31.9538,34.93473,655.2781128980296,4
17,1201369,31.95424,34.93512,61.286186157417056,4
19,1201369,31.95599,34.93663,241.435522019822,4
20,1201369,31.95601,34.93687,22.77696646988581,4
21,1201369,31.95587,34.9374,52.42820701505419,4
22,1201369,31.95567,34.93796,57.386692858717026,4
23,1201369,31.95541,34.93842,52.20482851538197,4
24,1201369,31.95522,34.93858,25.99473119406476,4
25,1201369,31.95425,34.93938,131.7917951307357,4
26,1201369,31.95423,34.93944,6.088729687636224,4
27,1201369,31.95422,34.93949,4.851995600481844,4
28,1201369,31.95424,34.93955,6.088730262126238,4
29,1201369,31.95437,34.93975,23.79636954211544,4
33,1201369,31.95473,34.94013,53.79776385431867,4
36,1201369,31.95489,34.94017,18.20740131731388,4
37,1201369,31.95556,34.9407,89.82568656247919,4
40,1201369,31.95756,34.94206,257.0363320608268,4
41,1201369,31.95926,34.94226,190.1835269297672,4
44,1201369,31.96371,34.94217,495.44465287777956,4
45,1201369,31.96395,34.94221,26.98243110310075,4
46,1201369,31.96434,34.94233,44.86940136191865,4
47,1201369,31.96462,34.94248,34.23761351184859,4
51,1201369,31.97602,34.94841,1387.1072200629285,4
54,1201369,31.98007,34.95079,503.7524331700967,4
58,1201369,31.98314,34.95204,361.55841033721913,4
59,1201369,31.98338,34.952,26.982319167182713,4
60,1201369,31.98342,34.95198,4.836672868125699,4
62,1201369,31.98357,34.95174,28.148647211357734,4
63,1201369,31.98355,34.95174,2.2263898161712388,4
65,1201369,31.98358,34.95172,3.8365311528886745,4
66,1201369,31.9846,34.95159,114.20742056472226,4
69,1201369,31.9876,34.95081,341.98255558964604,4
70,1201369,31.9893,34.95099,190.00471282563078,4
74,1201369,31.99545,34.95168,687.707282986356,4
78,1201369,32.00291,34.95339,845.988641021078,4
79,1201369,32.00457,34.95376,188.0623607509377,4
81,1201369,32.0114,34.95359,760.481452663917,4
82,1201369,32.01213,34.95356,81.31255231160318,4
83,1201369,32.0135,34.95352,152.55443215637933,4
88,1201369,32.01887,34.95367,597.9533049825621,4
94,1201369,32.02425,34.95388,599.2267407578591,4
99,1201369,32.02575,34.95397,167.195139015419,4
121,1201369,32.03025,34.9545,503.42873050261613,4
128,1201369,32.03181,34.95493,178.33672137928747,4
131,1201369,32.0346,34.95581,321.49242051018155,4
134,1201369,32.03614,34.95539,175.9540546271862,4
135,1201369,32.03664,34.95507,63.323682106647944,4
137,1201369,32.03711,34.95465,65.63719116698053,4
143,1201369,32.04129,34.94965,662.670455057443,4
147,1201369,32.04721,34.94507,788.074052935125,4
149,1201369,32.04933,34.94405,254.86700248211312,4
154,1201369,32.05248,34.94352,354.2041153346547,4
155,1201369,32.05261,34.94347,15.221043478584322,4
159,1201369,32.05253,34.94358,13.675617602830087,4
161,1201369,32.05372,34.94357,132.47355394065576,4
